#DroneDeploy	4.68.0
#Flight Recorder
Session ID	61a804011591990426bf2100
Session Start	12/01/2021 23:23:45
#Device
Device Model	SM-G981U1
Device Manufacturer	samsung
Device Operating System	Android	11
#Aircraft
Aircraft Model	Mavic 2 Pro
Aircraft Name	JMM Mavic 2 Pro
Aircraft Firmware	01.00.0770
#Aircraft Battery
Full Charge Volume (mAh)	3672
Remaining Life (%)	100
Discharges	26
#Components
Battery Cells Number	3
Battery Serial Number	0P2DHA46440515
Battery Firmware	02.74.07.37
Flight Controller Serial Number	1633J6G001M031
Flight Controller Firmware	03.04.00.64
Gimbal Firmware	00.01.10.91
Remote Control Serial Number	1DUCH9UR02642V
Remote Control Firmware	01.00.0770
Camera Serial Number	0K8TFBH0021589
Camera Firmware	00.14.00.06
Date/Time (GMT)	Elapsed Time (sec)	Info	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage (mV)	Aircraft Battery Cell 2 Voltage (mV)	Aircraft Battery Cell 3 Voltage (mV)	Aircraft Battery Cell 4 Voltage (mV)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-Fly	Aircraft No-Fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home State	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal State Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Satellites	RC Horizontal Accuracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GPS Last Updated (ms)	RC Signal 1 (%)	RC Signal 2 (%)	RC Signal Last Updated (ms)	LB Signal 1 (%)	LB Signal 2 (%)	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens Type Value	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Device > Aircraft Distance - XY (ft)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Speed (mph)
12/01/2021 23:25:47	122.319		65	2367	-1293	15917	38.8	15	3985	3979	3980	3973	32.961381300833416	-97.27657603519111	66.27297	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	66.60105	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	7	0	N/A	5032.6626	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	103	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.733116603088384	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:47	122.419		65	2367	-1293	15917	38.8	15	3985	3979	3980	3973	32.96138130071454	-97.27657603483374	65.944885	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	66.27297	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	7	0	N/A	5032.6626	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	145	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73322611160278	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:47	122.519		65	2367	-1293	15917	38.8	15	3985	3979	3980	3973	32.96138130059675	-97.27657603447733	65.6168	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	65.944885	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	7	0	N/A	5032.6626	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	52	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.733338748931885	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:47	122.619		65	2367	-1293	15917	38.8	15	3985	3979	3980	3973	32.961381300478955	-97.27657603413273	65.28871	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	65.6168	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73344825744629	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:47	122.719		65	2367	-1291	15916	38.8	16	3985	3979	3980	3973	32.96138130036062	-97.27657603378398	64.960625	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	65.28871	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	105	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.7335577659607	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:47	122.819		65	2367	-1291	15916	38.8	15	3985	3979	3980	3973	32.96138130021177	-97.2765760333443	64.632545	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	64.96063	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	145	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73369543380738	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:48	122.919		65	2367	-1291	15916	38.8	15	3985	3979	3980	3973	32.96138129997511	-97.27657603265573	64.30447	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	64.632545	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.733911322021484	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.019		65	2367	-1291	15916	38.8	15	3985	3979	3980	3973	32.96138129962801	-97.27657603165444	63.97638	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	64.30447	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73422733230591	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.119		65	2367	-1291	15916	38.8	15	3985	3979	3980	3973	32.961381299194436	-97.27657603040748	63.648293	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	63.97638	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	103	0.0	0.0	16.8	YawFollowMode	2	0	0	0	53	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73462156295776	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.219		65	2367	-1291	15916	38.8	15	3985	3979	3980	3973	32.96138129872178	-97.27657602905141	63.32021	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	63.648293	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	100	0.0	0.0	16.8	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.735050210571295	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.319		65	2367	-1291	15916	38.8	15	3986	3981	3981	3975	32.96138129826144	-97.27657602772979	62.99213	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	63.320213	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73546947174073	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.419		65	2367	-1291	15916	38.8	15	3986	3981	3981	3975	32.96138129785089	-97.27657602654918	62.664043	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	62.99213	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	102	0.0	0.0	16.8	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.7358418006897	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.519		65	2367	-1291	15916	38.8	15	3986	3981	3981	3975	32.961381297513164	-97.27657602557441	62.33596	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	62.664043	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5032.5933	0	IDLE	102	0.0	0.0	16.8	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73614842453003	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.619		65	2367	-1291	15916	38.8	15	3986	3981	3981	3975	32.961381297256956	-97.27657602483191	62.007874	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	62.33596	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	102	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.736383085632326	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.719		65	2367	-1302	15915	38.8	15	3986	3981	3981	3975	32.96138129708133	-97.27657602431819	61.679787	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	62.007874	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	97	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73654578399658	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:48	123.819		65	2367	-1302	15915	38.8	15	3986	3981	3981	3975	32.9613812969788	-97.27657602401156	61.351707	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	61.679794	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	103	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.7366396484375	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:49	123.919		65	2367	-1302	15915	38.8	15	3986	3981	3981	3975	32.96138129693811	-97.27657602388074	61.023624	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	61.351707	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.736680323028565	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:49	124.019		65	2367	-1302	15915	38.8	15	3986	3981	3981	3975	32.9613812969464	-97.27657602388872	60.695538	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	61.023624	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73667719421387	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:49	124.119		65	2367	-1302	15915	38.8	15	3986	3981	3981	3975	32.96138129699098	-97.27657602399944	60.367455	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	60.695538	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.7366396484375	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:49	124.219		65	2367	-1302	15915	38.8	15	3985	3979	3979	3973	32.96138129705978	-97.27657602418003	60.039368	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	60.367455	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	100	0.0	0.0	16.8	YawFollowMode	2	0	0	0	104	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.736583329772955	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:49	124.319		65	2367	-1302	15915	38.8	15	3985	3979	3979	3973	32.96138129714304	-97.27657602440115	59.71129	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	60.039375	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	96	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.736511367034915	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:49	124.42		65	2367	-1302	15915	38.8	15	3985	3979	3979	3973	32.9613812972334	-97.27657602464174	59.383205	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	59.71129	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1278	1278	6	0	N/A	5033.7524	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	148	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73643314666748	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:49	124.519		65	2367	-1302	15915	38.8	15	3985	3979	3979	3973	32.96138129732389	-97.27657602488296	59.05512	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	59.383205	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73635492630005	0.0	0.0	2.2369418	0.0
12/01/2021 23:25:49	124.619		65	2367	-1302	15915	38.8	15	3985	3979	3979	3973	32.96138129740862	-97.27657602510918	58.72703	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	59.05512	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	53	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73628296356201	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:49	124.719		65	2366	-1293	15916	38.8	17	3985	3979	3979	3973	32.96138129748626	-97.276576025315	58.39895	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	58.72703	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73621725845337	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:49	124.819		65	2366	-1293	15916	38.8	15	3985	3979	3979	3973	32.96138129755426	-97.27657602549431	58.07087	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	58.398952	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73615781097412	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:50	124.919		65	2366	-1293	15916	38.8	15	3985	3979	3979	3973	32.961381297611815	-97.27657602564526	57.742783	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	58.07087	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73610774993897	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:50	125.019		65	2366	-1293	15916	38.8	15	3985	3979	3979	3973	32.96138129765867	-97.27657602576491	57.4147	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	57.742783	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	100	0.0	0.0	16.8	YawFollowMode	2	0	0	0	98	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.7360702041626	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:50	125.119		65	2366	-1293	15916	38.8	15	3985	3979	3979	3973	32.96138129769495	-97.27657602585487	57.086613	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	57.4147	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	102	0.0	0.0	16.8	YawFollowMode	2	0	0	0	104	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73603891601563	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:50	125.219		65	2366	-1293	15916	38.8	15	3985	3979	3979	3973	32.961381297721054	-97.27657602591678	56.75853	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	57.086613	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	98	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73602014312744	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:50	125.319		65	2366	-1293	15916	38.8	15	3985	3978	3979	3972	32.961381297737915	-97.27657602595156	56.43045	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	56.758533	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.73600762786865	0.0	0.0	2.0132475	0.0
12/01/2021 23:25:50	125.419		65	2366	-1293	15916	38.8	15	3985	3978	3979	3972	32.961381297745945	-97.27657602596176	56.102364	112.8	0.0	0.0	15.0	1	1	Landing	12	0	1	56.43045	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1277	1277	6	0	N/A	5036.4673	0	IDLE	101	0.0	0.0	16.8	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	49.736004499053955	0.0	0.0	2.0132475	0.0
